,Status,SignalDate,Ticker,EntryDate,EntryPrice,StopLoss,SL %,Risk,Qty (1L),UpdatedStopLoss,TargetPrice,Target %,ExitPrice,ExitDate,PnL,Notes,TradeID
2,STOP_LOSS_HIT,2026-01-05,TATASTEEL.NS,09:55:00,186.88999938964844,185.9555493927002,0.5000000000000018,0.9344499969482456,1070,,187.82444938659663,0.4999999999999714,185.9555493927002,10:05:00,-0.5000000000000018,Manual | SL Hit at 185.9199981689453,320842b2
3,NOT_TRIGGERED,2026-01-05,AXISBANK.NS,,1289.699951171875,1283.2514514160157,0.4999999999999944,6.448499755859302,155,,1296.1484509277343,0.4999999999999944,,,0,Manual | Expired (No Entry),8c91ae8c
4,NOT_TRIGGERED,2026-01-05,HINDALCO.NS,,937.9000244140624,933.2105242919922,0.499999999999985,4.6895001220701715,213,,942.5895245361328,0.5000000000000093,,,0,Manual | Expired (No Entry),af788226
5,NOT_TRIGGERED,2026-01-05,ULTRACEMCO.NS,,12114,12053.43,0.49999999999999756,60.56999999999971,16,,12174.569999999998,0.49999999999998257,,,0,Manual | Expired (No Entry),18fe6691
6,NOT_TRIGGERED,2026-01-05,CONCOR.NS,,534,531.33,0.4999999999999924,2.669999999999959,374,,536.67,0.4999999999999924,,,0,Manual | Expired (No Entry),506a8278
7,EXIT_AT_CLOSE,2026-01-05,MARICO.NS,09:25:00,775.2000122070312,771.3240121459961,0.4999999999999983,3.8760000610351426,257,,779.0760122680663,0.4999999999999836,774.6500244140625,15:30:00,-0.07094785659289513,Manual | Triggered at 09:25:00 | Auto-Squareoff,841f6068
8,NOT_TRIGGERED,2026-01-05,OBEROIRLTY.NS,,1757.0999755859375,1748.314475708008,0.49999999999998346,8.785499877929396,113,,1765.885475463867,0.49999999999998346,,,0,Manual | Expired (No Entry),c36b6bf0
9,NOT_TRIGGERED,2026-01-05,VOLTAS.NS,,1494.5999755859375,1487.126975708008,0.4999999999999805,7.4729998779293965,133,,1502.0729754638671,0.4999999999999958,,,0,Manual | Expired (No Entry),c791b347
10,NOT_TRIGGERED,2026-01-05,WHIRLPOOL.NS,,920.9000244140624,916.295524291992,0.5000000000000054,4.6045001220703625,217,,925.5045245361327,0.5000000000000054,,,0,Manual | Expired (No Entry),89a3908d
43,WAITING_ENTRY,2026-01-06,AXISBANK.NS,,1289.699951171875,1283.2514514160157,0.4999999999999944,6.448499755859302,155,,1302.5969506835938,1.0000000000000062,,,0,Manual | (Updated),5ceab6fd
44,WAITING_ENTRY,2026-01-06,BANKBARODA.NS,,311.79998779296875,310.2409878540039,0.5000000000000051,1.5589999389648597,641,,314.9179876708984,0.999999999999992,,,0,Manual | (Updated),8865421e
45,WAITING_ENTRY,2026-01-06,HINDALCO.NS,,937.9000244140624,933.2105242919922,0.499999999999985,4.6895001220701715,213,,947.2790246582032,1.0000000000000187,,,0,Manual | (Updated),cb05b0e4
46,WAITING_ENTRY,2026-01-06,OBEROIRLTY.NS,,1757.0999755859375,1748.314475708008,0.49999999999998346,8.785499877929396,113,,1774.670975341797,1.0000000000000058,,,0,Manual | (Updated),cb98a79a
47,WAITING_ENTRY,2026-01-06,VOLTAS.NS,,1494.5999755859375,1487.126975708008,0.4999999999999805,7.4729998779293965,133,,1509.545975341797,1.0000000000000067,,,0,Manual | (Updated),c0bd48a7
48,WAITING_ENTRY,2026-01-06,HAVELLS.NS,,1462.199951171875,1454.8889514160155,0.5000000000000074,7.310999755859484,136,,1476.8219506835935,0.9999999999999839,,,0,Manual | (Updated),f76b3948
49,WAITING_ENTRY,2026-01-06,CGPOWER.NS,,653.2999877929688,650.0334878540039,0.5000000000000083,3.2664999389648983,306,,659.8329876708984,0.9999999999999993,,,0,Manual | (Updated),501036f2
50,WAITING_ENTRY,2026-01-06,GODREJCP.NS,,1247.0999755859375,1240.8644757080078,0.49999999999999856,6.235499877929669,160,,1259.5709753417968,0.9999999999999971,,,0,Manual | (Updated),51d8dedd
51,WAITING_ENTRY,2026-01-06,MARICO.NS,,775.2000122070312,771.3240121459961,0.4999999999999983,3.8760000610351426,257,,782.9520123291015,0.9999999999999966,,,0,Manual | (Updated),615dc9d8
52,WAITING_ENTRY,2026-01-06,ULTRACEMCO.NS,,12114,12053.43,0.49999999999999756,60.56999999999971,16,,12235.14,0.9999999999999951,,,0,Manual | (Updated),41dfbe59
60,WAITING_ENTRY,2026-01-06,ICICIBANK.NS,,1410.9000244140625,1403.5292108689173,0.5224192655469165,7.370813545145211,135,,1425.6416515043527,1.0448385310938169,,,0,Manual | (Updated),699b8a0b
61,WAITING_ENTRY,2026-01-06,ADANIPOWER.NS,,148.8800048828125,148.04168170118166,0.5630864818218592,0.838323181630841,1192,,150.55665124607415,1.1261729636436992,,,0,Manual | (Updated),82cc27cd
62,WAITING_ENTRY,2026-01-06,CHOLAFIN.NS,,1809.5999755859373,1800.5519757080078,0.49999999999998646,9.047999877929442,110,,1827.6959753417968,1.0000000000000107,,,0,Manual,42d9ecc7
63,WAITING_ENTRY,2026-01-06,MUTHOOTFIN.NS,,3993.89990234375,3973.930402832031,0.5000000000000018,19.969499511718823,50,,4033.838901367188,1.000000000000015,,,0,Manual,f617a65d
64,WAITING_ENTRY,2026-01-06,NATIONALUM.NS,,344.3999938964844,342.0130583371548,0.6930707321809676,2.3869355593295722,418,,349.1738650151435,1.3861414643619352,,,0,Manual,db77999d
65,WAITING_ENTRY,2026-01-06,HEROMOTOCO.NS,,6023.5,5993.3825,0.5000000000000049,30.11750000000029,33,,6083.735,0.9999999999999947,,,0,Manual,7488b2d7
